Test Point	Latitude	Longitude	RSSI	CINR	Distance	DL THP	UL THP	Min_RTT	Max_RTT	Avg_RTT
1	42.358	-83.071	-50	39	0.328	26.812	4.680	56.000	131.000	69.000
2	42.359	-83.066	-58	34	0.097	20.432	2.665	49.000	128.000	68.000
3	42.361	-83.067	-51	39	0.248	27.888	4.680	62.000	130.000	70.000
4	42.361	-83.067	-52	35	0.295	19.940	4.662	62.000	130.000	70.000
5	42.362	-83.068	-51	39	0.363	25.280	4.680	62.000	66.000	63.000
6	42.363	-83.068	-53	37	0.416	25.767	4.682	53.000	131.000	69.000
7	42.364	-83.069	-49	37	0.527	27.301	4.683	47.000	131.000	69.000
8	42.365	-83.070	-54	35	0.608	14.362	4.681	97.000	143.000	128.000
9	42.366	-83.070	-57	34	0.661	19.024	4.441	43.000	67.000	63.000
10	42.369	-83.071	-57	37	0.847	26.059	4.669	62.000	66.000	63.000
11	42.369	-83.073	-55	36	0.910	15.865	4.671	62.000	67.000	64.000
12	42.371	-83.074	-59	34	1.032	NaN	NaN	50.000	66.000	62.000
13	42.373	-83.075	-61	36	1.168	24.947	3.815	46.000	65.000	55.000
14	42.374	-83.076	-59	35	1.287	19.908	3.901	62.000	66.000	64.000
15	42.376	-83.077	-66	31	1.444	13.640	0.484	62.000	129.000	67.000
16	42.378	-83.078	-61	34	1.571	20.678	1.097	44.000	67.000	63.000
17	42.380	-83.080	-63	33	1.726	14.267	3.643	58.000	67.000	63.000
18	42.383	-83.082	-66	33	1.979	16.052	1.613	52.000	131.000	66.000
19	42.386	-83.084	-65	32	2.179	17.196	1.397	56.000	66.000	63.000
20	42.387	-83.085	-68	28	2.298	15.807	0.641	56.000	66.000	63.000
21	42.388	-83.085	-70	27	2.362	11.670	0.493	46.000	87.000	63.000
22	42.390	-83.086	-70	28	2.488	12.968	0.371	62.000	66.000	63.000
23	42.392	-83.087	-69	28	2.617	9.719	0.685	62.000	97.000	65.000
24	42.394	-83.089	-72	25	2.807	6.527	0.115	43.000	73.000	61.000
25	42.397	-83.091	-71	28	3.068	11.067	0.381	51.000	127.000	64.000
26	42.400	-83.093	-81	17	3.239	4.040	0.045	88.000	106.000	99.000
27	42.401	-83.094	-78	19	3.377	5.505	0.057	62.000	106.000	82.000
28	42.402	-83.095	-78	19	3.427	6.406	0.075	62.000	124.000	72.000
29	42.405	-83.096	-86	10	3.622	4.316	0.050	67.000	171.000	100.000
30	42.407	-83.098	-84	13	3.786	0.048	0.050	61.000	131.000	100.000
31	42.409	-83.099	-81	15	3.930	0.048	0.067	63.000	107.000	98.000
32	42.411	-83.100	-80	18	4.096	0.049	0.058	62.000	105.000	75.000
33	42.413	-83.102	-96	-3	4.309	NaN	NaN	Inf	Inf	Inf
34	42.405	-83.097	-90	6	3.674	0.000	NaN	NaN	NaN	NaN
35	42.400	-83.093	-88	7	3.241	0.000	NaN	Inf	Inf	Inf
36	42.398	-83.092	-86	10	3.115	0.000	0.067	NaN	NaN	NaN
37	42.396	-83.091	-84	13	2.978	3.655	0.053	48.000	106.000	93.000
38	42.395	-83.090	-81	15	2.926	NaN	NaN	271.000	332.000	301.000
39	42.395	-83.090	-85	11	2.883	0.049	0.055	68.000	150.000	101.000
40	42.394	-83.089	-81	14	2.804	0.000	NaN	67.000	87.000	75.000
41	42.393	-83.088	-83	13	2.697	3.457	0.034	67.000	211.000	81.000
42	42.389	-83.086	-88	7	2.432	3.223	0.050	60.000	883.000	208.000
43	42.388	-83.085	-87	10	2.345	3.505	0.045	67.000	106.000	71.000
44	42.386	-83.084	-81	15	2.191	3.574	0.055	89.000	105.000	99.000
45	42.385	-83.083	-79	19	2.119	3.555	0.056	97.000	131.000	102.000
46	42.383	-83.082	-82	19	1.998	3.563	0.041	62.000	114.000	98.000
47	42.381	-83.081	-72	26	1.813	11.625	0.221	62.000	83.000	67.000
48	42.380	-83.080	-72	25	1.718	11.531	0.224	49.000	95.000	66.000
49	42.378	-83.079	-67	30	1.603	18.133	0.628	44.000	66.000	54.000
50	42.377	-83.078	-65	30	1.477	13.058	0.158	62.000	121.000	69.000
51	42.375	-83.076	-63	32	1.310	19.991	4.486	62.000	65.000	63.000
52	42.373	-83.075	-64	31	1.190	16.693	2.510	62.000	129.000	70.000
53	42.371	-83.074	-61	35	1.047	25.454	2.241	62.000	129.000	73.000
54	42.369	-83.073	-64	30	0.863	14.708	4.594	63.000	127.000	70.000
55	42.366	-83.071	-53	38	0.669	14.317	4.679	62.000	128.000	73.000
56	42.365	-83.070	-53	38	0.550	22.460	4.660	50.000	128.000	67.000
57	42.361	-83.067	-50	38	0.290	25.933	4.681	46.000	82.000	64.000
58	42.360	-83.067	-54	34	0.226	27.698	4.651	62.000	82.000	66.000
59	42.356	-83.066	-47	39	0.127	16.253	4.681	63.000	128.000	70.000
60	42.356	-83.066	-70	24	0.127	7.217	0.243	62.000	66.000	63.000
61	42.357	-83.062	-77	18	0.155	4.170	0.138	62.000	67.000	64.000
62	42.356	-83.061	-81	13	0.192	7.085	0.061	63.000	72.000	67.000
63	42.355	-83.061	-81	14	0.256	3.575	0.055	98.000	158.000	108.000
64	42.354	-83.061	-83	11	0.300	4.955	0.057	64.000	103.000	92.000
65	42.353	-83.061	-83	12	0.362	3.449	0.054	44.000	100.000	70.000
66	42.353	-83.060	-85	10	0.399	3.336	0.043	98.000	105.000	101.000
67	42.352	-83.060	-84	10	0.448	3.382	0.050	88.000	105.000	99.000
68	42.352	-83.059	-77	17	0.507	7.564	NaN	58.000	106.000	91.000
69	42.352	-83.058	-87	7	0.532	3.012	0.045	86.000	545.000	152.000
70	42.351	-83.059	-91	7	0.537	NaN	0.005	98.000	106.000	101.000
71	42.351	-83.059	-82	14	0.533	3.570	0.057	53.000	106.000	89.000
72	42.351	-83.061	-83	11	0.518	3.491	0.051	56.000	166.000	95.000
73	42.350	-83.061	-92	5	0.553	0.000	NaN	Inf	Inf	Inf
74	42.350	-83.063	-87	8	0.555	0.000	NaN	Inf	Inf	Inf
75	42.352	-83.064	-74	22	0.366	7.476	0.125	65.000	131.000	97.000
76	42.353	-83.065	-83	13	0.317	3.527	0.050	98.000	106.000	101.000
77	42.354	-83.067	-81	19	0.254	4.159	0.047	90.000	103.000	97.000
78	42.355	-83.066	-77	18	0.184	7.072	0.057	62.000	66.000	63.000
79	42.355	-83.067	-67	26	0.195	13.540	0.334	63.000	66.000	64.000
80	42.357	-83.067	-55	34	0.135	20.702	4.677	54.000	66.000	62.000
81	42.358	-83.068	-51	39	0.144	26.590	4.679	62.000	131.000	70.000
82	42.359	-83.068	-47	39	0.190	24.210	4.680	62.000	129.000	70.000
83	42.359	-83.069	-52	39	0.237	24.779	4.682	50.000	65.000	62.000
84	42.360	-83.069	-58	37	0.297	16.311	0.154	62.000	66.000	63.000
85	42.361	-83.070	-71	24	0.342	10.661	NaN	62.000	65.000	63.000
86	42.362	-83.070	-70	23	0.413	NaN	0.365	62.000	66.000	64.000
87	42.364	-83.071	-64	26	0.536	14.141	0.696	62.000	66.000	63.000
88	42.366	-83.073	-70	24	0.723	14.230	0.392	62.000	66.000	63.000
89	42.368	-83.074	-71	25	0.838	10.657	0.152	62.000	127.000	70.000
90	42.367	-83.075	-82	16	0.858	4.770	0.049	88.000	144.000	103.000
91	42.367	-83.077	-80	17	0.885	4.411	0.048	90.000	106.000	101.000
92	42.364	-83.077	-80	17	0.783	3.555	0.077	63.000	106.000	79.000
93	42.363	-83.076	-69	24	0.704	11.273	0.372	56.000	66.000	63.000
94	42.362	-83.075	-62	32	0.606	14.893	0.786	48.000	65.000	58.000
95	42.361	-83.075	-58	36	0.543	20.487	3.649	62.000	66.000	63.000
96	42.359	-83.074	-73	23	0.475	9.653	0.144	62.000	130.000	70.000
97	42.357	-83.073	-76	19	0.424	7.086	0.154	62.000	66.000	64.000
98	42.356	-83.072	-71	24	0.403	10.432	0.179	62.000	66.000	64.000
99	42.355	-83.072	-75	23	0.399	5.880	0.057	62.000	105.000	79.000
100	42.355	-83.072	-84	13	0.422	4.271	0.056	57.000	168.000	93.000
101	42.354	-83.073	-82	12	0.470	3.538	0.054	89.000	408.000	140.000
102	42.355	-83.073	-82	14	0.486	3.400	0.042	52.000	98.000	72.000
103	42.355	-83.074	-75	20	0.488	7.938	0.102	47.000	66.000	62.000
104	42.357	-83.075	-68	26	0.502	14.091	NaN	62.000	67.000	63.000
105	42.354	-83.071	-74	21	0.415	10.738	0.104	46.000	129.000	72.000
106	42.350	-83.069	-88	6	0.540	0.000	NaN	Inf	Inf	Inf
107	42.349	-83.068	-86	9	0.590	0.000	0.047	97.000	106.000	100.000
108	42.354	-83.072	-74	22	0.467	7.165	0.120	62.000	171.000	74.000
109	42.355	-83.071	-77	19	0.364	6.082	0.111	268.000	367.000	309.000
110	42.355	-83.068	-78	18	0.233	6.467	0.051	97.000	107.000	102.000
111	42.355	-83.068	-78	16	0.212	6.994	NaN	97.000	105.000	101.000
112	42.356	-83.066	-77	18	0.098	3.808	0.051	62.000	91.000	66.000
113	42.357	-83.063	-78	17	0.100	7.141	0.055	376.000	432.000	418.000
114	42.358	-83.061	-77	20	0.194	4.042	0.051	45.000	103.000	83.000
115	42.359	-83.058	-74	14	0.346	4.058	0.054	251.000	328.000	289.000
116	42.360	-83.055	-79	18	0.518	7.245	0.077	63.000	151.000	102.000
117	42.360	-83.061	-72	23	0.242	6.465	0.054	63.000	167.000	96.000
118	42.359	-83.061	-80	15	0.219	5.930	0.049	71.000	106.000	98.000
119	42.357	-83.064	-76	18	0.058	NaN	0.125	62.000	102.000	70.000
120	42.356	-83.066	-78	17	0.115	7.066	0.050	89.000	172.000	103.000
121	42.360	-83.071	-67	28	0.349	9.938	0.384	62.000	128.000	70.000
122	42.361	-83.072	-68	24	0.455	10.020	1.236	62.000	66.000	63.000
123	42.362	-83.073	-70	23	0.492	9.113	0.662	62.000	66.000	63.000
124	42.363	-83.073	-71	23	0.567	9.942	0.188	53.000	67.000	63.000
125	42.365	-83.074	-78	18	0.714	7.133	0.120	62.000	66.000	64.000
126	42.364	-83.074	-72	22	0.660	7.125	0.259	45.000	67.000	63.000
127	42.363	-83.073	-67	28	0.573	9.900	0.320	NaN	NaN	NaN
128	42.360	-83.073	-60	33	0.457	9.768	4.633	62.000	67.000	64.000
129	42.360	-83.074	-55	38	0.478	9.495	4.444	68.000	72.000	69.000
